,Chart Date,Title,Artist,Number of Weeks In Top 100
254,2015-03-07,Uptown Funk!,Mark Ronson Featuring Bruno Mars,15
255,2015-02-28,Uptown Funk!,Mark Ronson Featuring Bruno Mars,14
256,2015-02-21,Uptown Funk!,Mark Ronson Featuring Bruno Mars,13
257,2015-02-14,Uptown Funk!,Mark Ronson Featuring Bruno Mars,12
258,2015-02-07,Uptown Funk!,Mark Ronson Featuring Bruno Mars,11
259,2015-01-31,Uptown Funk!,Mark Ronson Featuring Bruno Mars,10
260,2015-01-24,Uptown Funk!,Mark Ronson Featuring Bruno Mars,9
261,2015-01-17,Uptown Funk!,Mark Ronson Featuring Bruno Mars,8
262,2015-01-10,Blank Space,Taylor Swift,9
263,2015-01-03,Blank Space,Taylor Swift,8
264,2014-12-27,Blank Space,Taylor Swift,7
265,2014-12-20,Blank Space,Taylor Swift,6
266,2014-12-13,Blank Space,Taylor Swift,5
267,2014-12-06,Blank Space,Taylor Swift,4
268,2014-11-29,Blank Space,Taylor Swift,3
269,2014-11-22,Shake It Off,Taylor Swift,12
270,2014-11-15,Shake It Off,Taylor Swift,11
271,2014-11-08,All About That Bass,Meghan Trainor,16
272,2014-11-01,All About That Bass,Meghan Trainor,15
273,2014-10-25,All About That Bass,Meghan Trainor,14
274,2014-10-18,All About That Bass,Meghan Trainor,13
275,2014-10-11,All About That Bass,Meghan Trainor,12
276,2014-10-04,All About That Bass,Meghan Trainor,11
277,2014-09-27,All About That Bass,Meghan Trainor,10
278,2014-09-20,All About That Bass,Meghan Trainor,9
279,2014-09-13,Shake It Off,Taylor Swift,2
280,2014-09-06,Shake It Off,Taylor Swift,1
281,2014-08-30,Rude,MAGIC!,17
282,2014-08-23,Rude,MAGIC!,16
283,2014-08-16,Rude,MAGIC!,15
284,2014-08-09,Rude,MAGIC!,14
285,2014-08-02,Rude,MAGIC!,13
286,2014-07-26,Rude,MAGIC!,12
287,2014-07-19,Fancy,Iggy Azalea Featuring Charli XCX,18
288,2014-07-12,Fancy,Iggy Azalea Featuring Charli XCX,17
289,2014-07-05,Fancy,Iggy Azalea Featuring Charli XCX,16
290,2014-06-28,Fancy,Iggy Azalea Featuring Charli XCX,15
291,2014-06-21,Fancy,Iggy Azalea Featuring Charli XCX,14
292,2014-06-14,Fancy,Iggy Azalea Featuring Charli XCX,13
293,2014-06-07,Fancy,Iggy Azalea Featuring Charli XCX,12
294,2014-05-31,All Of Me,John Legend,32
295,2014-05-24,All Of Me,John Legend,31
296,2014-05-17,All Of Me,John Legend,30
297,2014-05-10,Happy,Pharrell Williams,17
298,2014-05-03,Happy,Pharrell Williams,16
299,2014-04-26,Happy,Pharrell Williams,15
300,2014-04-19,Happy,Pharrell Williams,14
301,2014-04-12,Happy,Pharrell Williams,13
302,2014-04-05,Happy,Pharrell Williams,12
303,2014-03-29,Happy,Pharrell Williams,11
304,2014-03-22,Happy,Pharrell Williams,10
305,2014-03-15,Happy,Pharrell Williams,9
306,2014-03-08,Happy,Pharrell Williams,8
307,2014-03-01,Dark Horse,Katy Perry Featuring Juicy J,22
308,2014-02-22,Dark Horse,Katy Perry Featuring Juicy J,21
309,2014-02-15,Dark Horse,Katy Perry Featuring Juicy J,20
310,2014-02-08,Dark Horse,Katy Perry Featuring Juicy J,19
311,2014-02-01,Timber,Pitbull Featuring Ke$ha,15
312,2014-01-25,Timber,Pitbull Featuring Ke$ha,14
313,2014-01-18,Timber,Pitbull Featuring Ke$ha,13
314,2014-01-11,The Monster,Eminem Featuring Rihanna,9
315,2014-01-04,The Monster,Eminem Featuring Rihanna,8
316,2013-12-28,The Monster,Eminem Featuring Rihanna,7
317,2013-12-21,The Monster,Eminem Featuring Rihanna,6
318,2013-12-14,Wrecking Ball,Miley Cyrus,15
319,2013-12-07,Royals,Lorde,21
320,2013-11-30,Royals,Lorde,20
321,2013-11-23,Royals,Lorde,19
322,2013-11-16,Royals,Lorde,18
323,2013-11-09,Royals,Lorde,17
324,2013-11-02,Royals,Lorde,16
325,2013-10-26,Royals,Lorde,15
326,2013-10-19,Royals,Lorde,14
327,2013-10-12,Royals,Lorde,13
328,2013-10-05,Wrecking Ball,Miley Cyrus,5
329,2013-09-28,Wrecking Ball,Miley Cyrus,4
330,2013-09-21,Roar,Katy Perry,5
331,2013-09-14,Roar,Katy Perry,4
332,2013-09-07,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,19
333,2013-08-31,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,18
334,2013-08-24,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,17
335,2013-08-17,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,16
336,2013-08-10,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,15
337,2013-08-03,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,14
338,2013-07-27,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,13
339,2013-07-20,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,12
340,2013-07-13,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,11
341,2013-07-06,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,10
342,2013-06-29,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,9
343,2013-06-22,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,8
344,2013-06-15,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,17
345,2013-06-08,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,16
346,2013-06-01,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,15
347,2013-05-25,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,14
348,2013-05-18,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,13
349,2014-03-22,Happy,Pharrell Williams,10
350,2014-03-15,Happy,Pharrell Williams,9
351,2014-03-08,Happy,Pharrell Williams,8
352,2014-03-22,Happy,Pharrell Williams,10
353,2014-03-15,Happy,Pharrell Williams,9
354,2014-03-08,Happy,Pharrell Williams,8
355,2014-03-01,Dark Horse,Katy Perry Featuring Juicy J,22
356,2014-02-22,Dark Horse,Katy Perry Featuring Juicy J,21
357,2014-02-15,Dark Horse,Katy Perry Featuring Juicy J,20
358,2014-02-08,Dark Horse,Katy Perry Featuring Juicy J,19
359,2014-02-01,Timber,Pitbull Featuring Ke$ha,15
360,2014-01-25,Timber,Pitbull Featuring Ke$ha,14
361,2014-01-18,Timber,Pitbull Featuring Ke$ha,13
362,2014-01-11,The Monster,Eminem Featuring Rihanna,9
363,2014-01-04,The Monster,Eminem Featuring Rihanna,8
364,2013-12-28,The Monster,Eminem Featuring Rihanna,7
365,2013-12-21,The Monster,Eminem Featuring Rihanna,6
366,2013-12-14,Wrecking Ball,Miley Cyrus,15
367,2013-12-07,Royals,Lorde,21
368,2013-11-30,Royals,Lorde,20
369,2013-11-23,Royals,Lorde,19
370,2013-11-16,Royals,Lorde,18
371,2013-11-09,Royals,Lorde,17
372,2013-11-02,Royals,Lorde,16
373,2013-10-26,Royals,Lorde,15
374,2013-10-19,Royals,Lorde,14
375,2013-10-12,Royals,Lorde,13
376,2013-10-05,Wrecking Ball,Miley Cyrus,5
377,2013-09-28,Wrecking Ball,Miley Cyrus,4
378,2013-09-21,Roar,Katy Perry,5
379,2014-03-22,Happy,Pharrell Williams,10
380,2014-03-15,Happy,Pharrell Williams,9
381,2014-03-08,Happy,Pharrell Williams,8
382,2014-03-01,Dark Horse,Katy Perry Featuring Juicy J,22
383,2014-02-22,Dark Horse,Katy Perry Featuring Juicy J,21
384,2014-02-15,Dark Horse,Katy Perry Featuring Juicy J,20
385,2014-02-08,Dark Horse,Katy Perry Featuring Juicy J,19
386,2014-02-01,Timber,Pitbull Featuring Ke$ha,15
387,2014-01-25,Timber,Pitbull Featuring Ke$ha,14
388,2014-01-18,Timber,Pitbull Featuring Ke$ha,13
389,2014-01-11,The Monster,Eminem Featuring Rihanna,9
390,2014-01-04,The Monster,Eminem Featuring Rihanna,8
391,2013-12-28,The Monster,Eminem Featuring Rihanna,7
392,2013-12-21,The Monster,Eminem Featuring Rihanna,6
393,2013-12-14,Wrecking Ball,Miley Cyrus,15
394,2013-12-07,Royals,Lorde,21
395,2013-11-30,Royals,Lorde,20
396,2014-03-22,Happy,Pharrell Williams,10
397,2014-03-15,Happy,Pharrell Williams,9
398,2014-03-08,Happy,Pharrell Williams,8
399,2014-03-01,Dark Horse,Katy Perry Featuring Juicy J,22
400,2014-02-22,Dark Horse,Katy Perry Featuring Juicy J,21
401,2014-02-15,Dark Horse,Katy Perry Featuring Juicy J,20
402,2014-02-08,Dark Horse,Katy Perry Featuring Juicy J,19
403,2014-02-01,Timber,Pitbull Featuring Ke$ha,15
404,2014-01-25,Timber,Pitbull Featuring Ke$ha,14
405,2014-01-18,Timber,Pitbull Featuring Ke$ha,13
406,2014-01-11,The Monster,Eminem Featuring Rihanna,9
407,2014-01-04,The Monster,Eminem Featuring Rihanna,8
408,2013-12-28,The Monster,Eminem Featuring Rihanna,7
409,2013-12-21,The Monster,Eminem Featuring Rihanna,6
410,2014-03-22,Happy,Pharrell Williams,10
411,2014-03-15,Happy,Pharrell Williams,9
412,2014-03-08,Happy,Pharrell Williams,8
413,2014-03-01,Dark Horse,Katy Perry Featuring Juicy J,22
414,2014-02-22,Dark Horse,Katy Perry Featuring Juicy J,21
415,2014-02-15,Dark Horse,Katy Perry Featuring Juicy J,20
416,2014-02-08,Dark Horse,Katy Perry Featuring Juicy J,19
417,2014-02-01,Timber,Pitbull Featuring Ke$ha,15
418,2014-01-25,Timber,Pitbull Featuring Ke$ha,14
419,2014-01-18,Timber,Pitbull Featuring Ke$ha,13
420,2014-01-11,The Monster,Eminem Featuring Rihanna,9
421,2014-01-04,The Monster,Eminem Featuring Rihanna,8
422,2013-12-28,The Monster,Eminem Featuring Rihanna,7
423,2013-12-21,The Monster,Eminem Featuring Rihanna,6
424,2013-12-14,Wrecking Ball,Miley Cyrus,15
425,2013-12-07,Royals,Lorde,21
426,2013-11-30,Royals,Lorde,20
427,2013-11-23,Royals,Lorde,19
428,2013-11-16,Royals,Lorde,18
429,2013-11-09,Royals,Lorde,17
430,2013-11-02,Royals,Lorde,16
431,2013-10-26,Royals,Lorde,15
432,2013-10-19,Royals,Lorde,14
433,2013-10-12,Royals,Lorde,13
434,2013-10-05,Wrecking Ball,Miley Cyrus,5
435,2013-09-28,Wrecking Ball,Miley Cyrus,4
436,2013-09-21,Roar,Katy Perry,5
437,2013-09-14,Roar,Katy Perry,4
438,2013-09-07,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,19
439,2013-08-31,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,18
440,2013-08-24,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,17
441,2013-08-17,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,16
442,2013-08-10,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,15
443,2013-08-03,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,14
444,2013-07-27,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,13
445,2013-07-20,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,12
446,2013-07-13,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,11
447,2013-07-06,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,10
448,2013-06-29,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,9
449,2013-06-22,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,8
450,2013-06-15,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,17
451,2013-06-08,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,16
452,2013-06-01,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,15
453,2013-05-25,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,14
454,2013-05-18,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,13
455,2013-05-11,Just Give Me A Reason,P!nk Featuring Nate Ruess,11
456,2013-05-04,Just Give Me A Reason,P!nk Featuring Nate Ruess,10
457,2013-04-27,Just Give Me A Reason,P!nk Featuring Nate Ruess,9
458,2013-04-20,When I Was Your Man,Bruno Mars,16
459,2013-04-13,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,26
460,2013-04-06,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,25
461,2013-03-30,Harlem Shake,Baauer,5
462,2013-03-23,Harlem Shake,Baauer,4
463,2013-03-16,Harlem Shake,Baauer,3
464,2013-03-09,Harlem Shake,Baauer,2
465,2013-03-02,Harlem Shake,Baauer,1
466,2013-02-23,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,19
467,2013-02-16,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,18
468,2013-02-09,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,17
469,2013-02-02,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,16
470,2013-01-26,Locked Out Of Heaven,Bruno Mars,15
471,2013-01-19,Locked Out Of Heaven,Bruno Mars,14
472,2013-01-12,Locked Out Of Heaven,Bruno Mars,13
473,2013-01-05,Locked Out Of Heaven,Bruno Mars,12
474,2012-12-29,Locked Out Of Heaven,Bruno Mars,11
475,2012-12-22,Locked Out Of Heaven,Bruno Mars,10
476,2012-12-15,Diamonds,Rihanna,10
477,2012-12-08,Diamonds,Rihanna,9
478,2012-12-01,Diamonds,Rihanna,8
479,2012-11-24,One More Night,Maroon 5,21
480,2012-11-17,One More Night,Maroon 5,20
481,2012-11-10,One More Night,Maroon 5,19
482,2012-11-03,One More Night,Maroon 5,18
483,2012-10-27,One More Night,Maroon 5,17
484,2012-10-20,One More Night,Maroon 5,16
485,2012-10-13,One More Night,Maroon 5,15
486,2012-10-06,One More Night,Maroon 5,14
487,2012-09-29,One More Night,Maroon 5,13
488,2012-09-22,We Are Never Ever Getting Back Together,Taylor Swift,5
489,2012-09-15,Whistle,Flo Rida,16
490,2012-09-08,We Are Never Ever Getting Back Together,Taylor Swift,3
491,2012-09-01,We Are Never Ever Getting Back Together,Taylor Swift,2
492,2012-08-25,Whistle,Flo Rida,13
493,2012-08-18,Call Me Maybe,Carly Rae Jepsen,24
494,2012-08-11,Call Me Maybe,Carly Rae Jepsen,23
495,2012-08-04,Call Me Maybe,Carly Rae Jepsen,22
496,2012-07-28,Call Me Maybe,Carly Rae Jepsen,21
497,2012-07-21,Call Me Maybe,Carly Rae Jepsen,20
498,2012-07-14,Call Me Maybe,Carly Rae Jepsen,19
499,2012-07-07,Call Me Maybe,Carly Rae Jepsen,18
500,2012-06-30,Call Me Maybe,Carly Rae Jepsen,17
501,2012-06-23,Call Me Maybe,Carly Rae Jepsen,16
502,2012-06-16,Somebody That I Used To Know,Gotye Featuring Kimbra,22
503,2012-06-09,Somebody That I Used To Know,Gotye Featuring Kimbra,21
504,2012-06-02,Somebody That I Used To Know,Gotye Featuring Kimbra,20
505,2012-05-26,Somebody That I Used To Know,Gotye Featuring Kimbra,19
506,2012-05-19,Somebody That I Used To Know,Gotye Featuring Kimbra,18
507,2012-05-12,Somebody That I Used To Know,Gotye Featuring Kimbra,17
508,2012-05-05,Somebody That I Used To Know,Gotye Featuring Kimbra,16
509,2012-04-28,Somebody That I Used To Know,Gotye Featuring Kimbra,15
